trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-43,-133.94063507030285,"{0: 45, 1: 9, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-9,-113.16649893934692,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,-67,-316.78670295902907,"{0: 57, 1: 13, 2: 9, 3: 4, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,10,-58.84107494745742,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,-63,-524.4283545341773,"{0: 53, 1: 6, 2: 17, 3: 4, 4: 8}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-24,-223.56076436209904,"{0: 31, 1: 4, 2: 3, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,-63,-228.22168398806022,"{0: 62, 1: 6, 2: 15, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,-2,-114.89713029384158,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,9,-76.87334837764584,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,21,-0.07635323104953162,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,11,21.37518359689437,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,-14,-135.70776843732824,"{0: 24, 1: 3, 2: 4, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,-30,-78.98129488007883,"{0: 44, 1: 4, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,1,-49.25097760525764,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,5,16.461687895737537,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-8,-13.54246501534828,"{0: 30, 1: 1, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,15,0.4282010339911828,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,-23,-89.51531967024161,"{0: 37, 1: 0, 2: 3, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,-2,-8.33272590877066,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,2,22.16401575413656,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,-17,30.977691154981713,"{0: 45, 1: 1, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,11,32.22734134100421,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,-6,29.552555570794,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,-7,21.073922515339415,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,12,10.100088789600921,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,1,29.06982442919898,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,15,18.76695466026709,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,7,-44.26522185002111,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",30,13,25.33788955254234,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,-7,26.095182551037347,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",0
