trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99004983374916811}",25,-100,-616.8578657284971,"{0: 77, 1: 12, 2: 25, 3: 2, 4: 9}",0
2,False,"{'a': 0.5, 'e': 0.98019867330675525}",20,-100,-626.2674553995317,"{0: 68, 1: 13, 2: 24, 3: 9, 4: 6}",0
3,False,"{'a': 0.5, 'e': 0.97044553354850815}",20,-100,-318.2519789872422,"{0: 80, 1: 15, 2: 17, 3: 6, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.96078943915232318}",25,-100,-636.7045480074639,"{0: 71, 1: 13, 2: 28, 3: 7, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.95122942450071402}",25,-36,-227.55994971369373,"{0: 37, 1: 6, 2: 14, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.94176453358424872}",25,9,-0.7951474648882613,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.93239381990594827}",20,-100,-509.8496242061685,"{0: 74, 1: 11, 2: 24, 3: 5, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.92311634638663576}",20,14,-12.428495091828207,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.91393118527122819}",25,12,-53.36508355435085,"{0: 7, 1: 4, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.90483741803595952}",25,-4,-196.74949589838116,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.89583413529652822}",30,-100,-513.9568728945344,"{0: 90, 1: 10, 2: 16, 3: 6, 4: 8}",0
12,False,"{'a': 0.5, 'e': 0.88692043671715748}",20,7,-81.10946006052492,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,8,-107.95258201774881,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.86935823539880586}",20,-8,-127.15145188877135,"{0: 19, 1: 3, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.86070797642505781}",25,-25,-197.1620773780148,"{0: 31, 1: 9, 2: 6, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.85214378896621135}",25,-9,-88.34696449957129,"{0: 20, 1: 6, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",30,-100,-444.9605124186873,"{0: 90, 1: 10, 2: 19, 3: 4, 4: 7}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",35,-3,-10.047695613109905,"{0: 31, 1: 2, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.82695913394336229}",25,-18,-130.38250512904432,"{0: 27, 1: 2, 2: 13, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.81873075307798182}",20,-16,-120.05564563538479,"{0: 25, 1: 4, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.81058424597018708}",25,-8,-194.05916019831258,"{0: 20, 1: 1, 2: 5, 3: 5, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.80251879796247849}",35,-17,-175.64660601012142,"{0: 36, 1: 3, 2: 8, 3: 3, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.79453360250333405}",25,17,-4.177148795501364,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.78662786106655347}",20,-43,-275.3594025276132,"{0: 42, 1: 3, 2: 9, 3: 6, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.77880078307140488}",25,7,-56.87403855955459,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.77105158580356625}",20,-9,-38.85295867947382,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 1}",0
