trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,-100,-750.2586922463963,"{0: 77, 1: 7, 2: 22, 3: 8, 4: 11}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,2,-81.24752193894344,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-480.6070181271149,"{0: 73, 1: 10, 2: 30, 3: 2, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-559.9792697678508,"{0: 77, 1: 16, 2: 19, 3: 5, 4: 8}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-708.3522341024633,"{0: 79, 1: 9, 2: 20, 3: 5, 4: 12}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-703.4933382580466,"{0: 66, 1: 10, 2: 29, 3: 7, 4: 8}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-829.9266997801586,"{0: 68, 1: 13, 2: 27, 3: 5, 4: 12}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-10,-136.75643831169538,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-33,-199.1161534563646,"{0: 34, 1: 1, 2: 15, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,-4,-117.86420361612157,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,-100,-642.2268292473768,"{0: 76, 1: 13, 2: 27, 3: 7, 4: 7}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,10,-6.017400899797447,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-417.9445633271401,"{0: 80, 1: 9, 2: 20, 3: 7, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,7,-23.0071294801916,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,-100,-676.7424947649677,"{0: 71, 1: 7, 2: 27, 3: 7, 4: 8}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-19,-128.87642741374128,"{0: 23, 1: 4, 2: 10, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-8,-86.50303057154676,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,-83,-320.22978383037355,"{0: 65, 1: 19, 2: 14, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,-13,-125.63066722254901,"{0: 28, 1: 4, 2: 9, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-13,-154.47514729480346,"{0: 23, 1: 0, 2: 7, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,-33,-206.1348824473534,"{0: 34, 1: 6, 2: 9, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,-100,-651.3528441369845,"{0: 77, 1: 10, 2: 24, 3: 4, 4: 10}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,-97,-536.9381832401498,"{0: 74, 1: 6, 2: 25, 3: 5, 4: 7}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,-12,-136.02784835663036,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,-100,-494.8014076630973,"{0: 83, 1: 10, 2: 20, 3: 6, 4: 6}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.50215294308921,"{0: 15, 1: 2, 2: 0, 3: 3, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,-100,-380.62881067899195,"{0: 80, 1: 16, 2: 17, 3: 2, 4: 5}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,2,-126.12414366005736,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,-16,-105.23668205944539,"{0: 25, 1: 4, 2: 4, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,-100,-674.2680136274572,"{0: 74, 1: 9, 2: 27, 3: 6, 4: 9}",0
